sample_plague,lat_plague,long_plague,age_plague,sample_human_plague,lat_human_plague,long_human_plague,age_human_plague,combined_dist,geo_dist,temp_dist
VLI092,50.373,14.449,4200,I7205,50.410265,14.074597,4200,0.002035956,26893.30754,0
KNK001_c,45.825,41.582,4200,RK4001,45.535978,41.059517,4238,0.004892929,51830.47893,38
GRS004,51.189,12.267,4100,I0117,51.42,11.68,4092,0.003705836,48271.42724,8
HOP001,50.08,14.281,3800,VLI047,50.365945,14.446606,3800,0.002569895,33946.21627,0
HOP004,50.08,14.281,3800,VLI047,50.365945,14.446606,3800,0.002569895,33946.21627,0
KLZ001_c,44.848,42.219,3800,NV3001,44.73486,41.938749,3945,0.011319309,25471.68618,145
CHC004,50.796,17.094,3600,MIB034,49.992004,15.776861,3659,0.010797032,129408.3755,59
KLE031,48.218,10.846,3500,OTTM_81,48.22519,10.84977,3497,0.000239529,847.8210978,3
MIB054,49.992,15.777,3600,MIB034,49.992004,15.776861,3659,0.004538462,9.957730938,59
KLE048,48.218,10.846,3400,OTTM_156,48.22519,10.84977,3448,0.003692866,847.8210978,48
OOH003_c,48.233,10.861,3300,OTTM_91,48.22519,10.84977,3283,0.001310865,1203.898942,17
ARS007_c,49.65,99.72,3000,ARS006,49.690139,99.760694,3003,0.000465771,5344.216156,3
KZL002,48.278,75.356,2500,KZL003,48.28,75.36,2500,2.81E-05,370.6509198,0
VEL003_c,49.178,16.848,4000,I5037,48.801944,17.023333,4100,0.008375884,43777.70083,100
GRH001_c,45.063,41.54,2700,DA145,47.282396,39.541034,2300,0.037849544,291154.5879,400
OBS124,43.3,5.36,200,HGDP00530,46,2,0,0.034057044,401349.6119,200
OBS107,43.3,5.36,200,HGDP00530,46,2,0,0.034057044,401349.6119,200
OBS116,43.3,5.36,200,HGDP00530,46,2,0,0.034057044,401349.6119,200
OBS137,43.3,5.36,200,HGDP00530,46,2,0,0.034057044,401349.6119,200
OBS110,43.3,5.36,200,HGDP00530,46,2,0,0.034057044,401349.6119,200
BED028.A0102_8103_PE_SE,51.51,-0.08,400,HG00126,51.19,0.73,0,0.03118003,66635.95012,400
NMS002.A0101.combined,52.2,0.11,400,HG00126,51.19,0.73,0,0.032088663,120295.5103,400
BED030.A0102_8127_PE_SE,51.51,-0.08,400,HG00126,51.19,0.73,0,0.03118003,66635.95012,400
BED024.A0102_8052_PE_SE,51.51,-0.08,400,HG00126,51.19,0.73,0,0.03118003,66635.95012,400
STN020.A0101_SE,46.95,8.36,400,R2066,49.115262,6.169192,604,0.027047329,290994.8574,204
STN021.A0101_SE,46.95,8.36,400,R2066,49.115262,6.169192,604,0.027047329,290994.8574,204
STA001.A0101_PE_SE,47.99,11.33,400,I17313,50.054385,14.363387,199,0.028680433,319079.8264,201
LAI009.A0101_RT88_PE_SE,55.39,49.54,600,Sunghir6,56.17611111,40.5025,813,0.046301322,572028.7722,213
BED034.A0102_8198_PE_SE,51.51,-0.08,400,HG00126,51.19,0.73,0,0.03118003,66635.95012,400
STN014.A0101_SE,46.95,8.36,400,R2066,49.115262,6.169192,604,0.027047329,290994.8574,204
BRA001.A0101_PE_SE,52.41,12.53,300,I17313,50.054385,14.363387,199,0.023408874,291685.0706,101
STN008.A0101_SE,46.95,8.36,400,R2066,49.115262,6.169192,604,0.027047329,290994.8574,204
STN007.A0101_SE,46.95,8.36,400,R2066,49.115262,6.169192,604,0.027047329,290994.8574,204
MAN008.B0101_SE,48.7,11.47,600,R2066,49.115262,6.169192,604,0.029565114,390509.8144,4
London_EastSmithfield_8124_8291_11972,51.5,-0.06,600,I3044,53.234533,-0.540804,856,0.024649165,195832.2327,256
