H,S,HS,Freq,wFq
FU-215,SK11,FU-215-SK11,0,-18.56
HGDP01364,UF11,HGDP01364-UF11,1,-18.54
Est400,R7546-671,Est400-R7546-671,0,-18.54
I16510,EDI006,I16510-EDI006,2,-16.78
VK207,KirkHill,VK207-KirkHill,3,-15.85
I12515,UF25,I12515-UF25,0,-9.61
SWG001,Jorgen_507,SWG001-Jorgen_507,0,-9.5
I10853,UF803,I10853-UF803,0,-9.43
I10897,UF703,I10897-UF703,0,-9.14
VK330,Refshale_16,VK330-Refshale_16,11,-7.8
JK2888,Abusir1630,JK2888-Abusir1630,15,-4.57
SWG002,Jorgen_404,SWG002-Jorgen_404,0,-4.1
SWG002,Jorgen_749,SWG002-Jorgen_749,0,-3.65
VK256,MMW_H80_1,VK256-MMW_H80_1,2,-2.61
I10853,UF101,I10853-UF101,7,-2.3
I3044,CHRY044,I3044-CHRY044,3,-0.18
VEN005,T18,VEN005-T18,19,0.04
I3044,MMW_H94_1,I3044-MMW_H94_1,4,0.71
I3044,JDS097,I3044-JDS097,4,0.94
I3044,SK2,I3044-SK2,4,0.95
VK256,SK27,VK256-SK27,6,1.32
SWG002,Jorgen_427,SWG002-Jorgen_427,5,1.36
vik_urm161,sample_3077,vik_urm161-sample_3077,20,1.75
VK256,SK8,VK256-SK8,7,2.39
VK252,BEL024,VK252-BEL024,21,2.61
I3044,CHRY023,I3044-CHRY023,6,2.74
I3044,MMW_H50_1,I3044-MMW_H50_1,6,2.88
VK256,SK14,VK256-SK14,10,5.4
SZAK-4,Body_188,SZAK-4-Body_188,25,6.77
SWG002,Jorgen_625,SWG002-Jorgen_625,11,7.34
I12515,UF21,I12515-UF21,17,7.52
I10897,UF700,I10897-UF700,22,12.44
SWG002,Jorgen_722,SWG002-Jorgen_722,17,12.82
I8145,PAVd09_1.5,I8145-PAVd09_1.5,34,14.87
I0774,GC96CU,I0774-GC96CU,37,18.17
VK414,Bergen,VK414-Bergen,37,18.96
SWG001,Jorgen_533,SWG001-Jorgen_533,40,30.26
