H,S,HS,Freq,wFq
I0359,MIK005.A_RT5,I0359-MIK005.A_RT5,24,10.32
Sunghir6_noUDG.SG,Bolgar,Sunghir6_noUDG.SG-Bolgar,2,-4.22
I0773,EDI001.A_shotgun,I0773-EDI001.A_shotgun,8,-5.5
AED125b_noUDG.SG,Altenerding2018,AED125b_noUDG.SG-Altenerding2018,10,-3.22
ber1M_noUDG.SG,Gok2,ber1M_noUDG.SG-Gok2,80,66.48
RK1007,RV2039,RK1007-RV2039,38,24.98
RK4001,KNK001_c,RK4001-KNK001_c,2,-4.62
I0117,GRS004,I0117-GRS004,25,11.94
I5037,VEL003_c,I5037-VEL003_c,23,10.05
GLZ001,GZL001.A0101_02.YP2.1,GLZ001-GZL001.A0101_02.YP2.1,15,1.98
GLZ002,GZL002.A0101_02.YP2.1,GLZ002-GZL002.A0101_02.YP2.1,5,-8.28
Sunghir6_noUDG.SG,LAI009.A0101_RT88_PE_SE,Sunghir6_noUDG.SG-LAI009.A0101_RT88_PE_SE,9,2.5
WEHR_1192SkB,1343UNTAL85,WEHR_1192SkB-1343UNTAL85,4,-9.81
NV3001,KLZ001_c,NV3001-KLZ001_c,13,0.16
MIB034,CHC004,MIB034-CHC004,7,0.21
OTTM_152_d,PST006.A_Post6,OTTM_152_d-PST006.A_Post6,15,2.04
OTTM_156_noUDG,KLE048,OTTM_156_noUDG-KLE048,6,-7.17
ARS006.A0101,ARS007_c,ARS006.A0101-ARS007_c,0,-13.47
DA145_noUDG.SG,GRH001_c,DA145_noUDG.SG-GRH001_c,0,-13.58
KZL003,KZL002,KZL003-KZL002,0,-12.95
OTTM_91_d,OOH003_c,OTTM_91_d-OOH003_c,6,-7.54
RISE512_noUDG.SG,RISE505,RISE512_noUDG.SG-RISE505,3,-9.29
HGDP00530.DG,OBS124,HGDP00530.DG-OBS124,2,-0.57
MIB034,MIB054,MIB034-MIB054,3,-3.32
OTTM_81_d,KLE031,OTTM_81_d-KLE031,7,-6.14
VLI047,HOP001,VLI047-HOP001,3,-3.7
VLI047,HOP004,VLI047-HOP004,6,-1.08
EKA1_noUDG.SG,KunilaII,EKA1_noUDG.SG-KunilaII,7,-6.09
Spiginas2,Gyvakarai1,Spiginas2-Gyvakarai1,15,1.04
I7205,VLI092,I7205-VLI092,7,-5.84
RISE684_noUDG.SG,RISE509,RISE684_noUDG.SG-RISE509,10,-2.94
RK4001,RK1001.C,RK4001-RK1001.C,1,-5.9
HGDP00530.DG,OBS137,HGDP00530.DG-OBS137,2,-0.63
HGDP00530.DG,OBS110,HGDP00530.DG-OBS110,0,-2.64
HGDP00530.DG,OBS116,HGDP00530.DG-OBS116,2,-0.94
HGDP00530.DG,OBS107,HGDP00530.DG-OBS107,2,-1.04
I10897,Barcelona,I10897-Barcelona,21,7.35
I3044,London_EastSmithfield_8124_8291_11972,I3044-London_EastSmithfield_8124_8291_11972,17,3.15
